,Open,High,Low,Close,Volume
2023-01-31 16:05:00,223.228,223.257,223.168,223.211,2720.0
2023-01-31 16:04:00,223.228,223.257,223.168,223.211,481.0
2023-01-31 16:01:00,223.228,223.257,223.168,223.211,451.0
2023-01-31 16:00:00,223.228,223.257,223.168,223.211,94458.0
2023-01-31 15:59:00,223.317,223.424,223.021,223.368,8075.0
2023-01-31 15:58:00,223.277,223.424,223.197,223.29,1618.0
2023-01-31 15:57:00,223.209,223.375,223.06,223.221,3248.0
2023-01-31 15:56:00,223.091,223.296,222.947,223.197,2034.0
2023-01-31 15:55:00,223.003,223.11,222.687,223.064,2238.0
2023-01-31 15:54:00,222.9,222.972,222.785,222.887,602.0
2023-01-31 15:53:00,222.733,222.923,222.673,222.878,1400.0
2023-01-31 15:52:00,222.748,222.845,222.687,222.799,400.0
2023-01-31 15:51:00,222.561,222.805,222.501,222.73,1300.0
2023-01-31 15:50:00,222.247,222.643,222.049,222.598,1892.0
2023-01-31 15:49:00,222.051,222.118,221.991,222.073,200.0
2023-01-31 15:48:00,222.178,222.216,222.054,222.097,653.0
2023-01-31 15:47:00,222.276,222.398,222.167,222.259,600.0
2023-01-31 15:46:00,222.218,222.305,222.079,222.259,1217.0
2023-01-31 15:45:00,222.061,222.089,222.0,222.043,100.0
2023-01-31 15:43:00,221.899,222.079,221.839,222.034,500.0
2023-01-31 15:42:00,221.889,221.917,221.829,221.872,100.0
2023-01-31 15:41:00,221.962,221.991,221.902,221.945,227.0
2023-01-31 15:40:00,221.732,221.93,221.672,221.885,500.0
2023-01-31 15:39:00,221.57,221.721,221.51,221.675,200.0
2023-01-31 15:38:00,221.491,221.52,221.431,221.474,100.0
2023-01-31 15:37:00,221.266,221.426,221.206,221.381,200.0
2023-01-31 15:36:00,221.236,221.333,221.176,221.288,200.0
2023-01-31 15:32:00,221.305,221.333,221.245,221.288,100.0
2023-01-31 15:30:00,221.334,221.372,221.274,221.327,200.0
2023-01-31 15:26:00,221.393,221.421,221.147,221.19,909.0
2023-01-31 15:25:00,221.364,221.529,221.304,221.474,710.0
2023-01-31 15:24:00,221.295,221.323,221.235,221.278,100.0
2023-01-31 15:21:00,221.216,221.245,221.068,221.111,300.0
2023-01-31 15:20:00,221.216,221.245,221.157,221.2,206.0
2023-01-31 15:17:00,221.03,221.068,220.97,221.023,300.0
2023-01-31 15:15:00,221.04,221.186,220.98,221.141,300.0
2023-01-31 15:14:00,220.902,220.931,220.843,220.885,100.0
2023-01-31 15:12:00,220.902,220.931,220.764,220.807,324.0
2023-01-31 15:10:00,221.167,221.196,220.921,220.964,285.0
2023-01-31 15:09:00,221.192,221.22,221.132,221.175,100.0
2023-01-31 15:07:00,221.138,221.24,221.078,221.195,300.0
2023-01-31 15:03:00,221.094,221.122,221.034,221.077,121.0
2023-01-31 15:01:00,221.128,221.156,221.068,221.111,100.0
2023-01-31 14:59:00,221.138,221.176,221.078,221.131,200.0
2023-01-31 14:57:00,221.236,221.264,221.176,221.219,100.0
2023-01-31 14:56:00,221.305,221.333,221.245,221.288,100.0
2023-01-31 14:54:00,221.305,221.333,221.245,221.288,129.0
2023-01-31 14:52:00,221.364,221.392,221.304,221.347,200.0
2023-01-31 14:51:00,221.442,221.49,221.382,221.445,300.0
2023-01-31 14:50:00,221.323,221.351,221.263,221.306,200.0
2023-01-31 14:48:00,221.216,221.245,221.157,221.2,100.0
2023-01-31 14:47:00,221.059,221.147,221.0,221.101,300.0
2023-01-31 14:46:00,221.01,221.039,220.951,220.993,118.0
2023-01-31 14:45:00,220.893,220.921,220.833,220.876,200.0
2023-01-31 14:44:00,220.824,220.852,220.764,220.807,100.0
2023-01-31 14:43:00,220.893,220.921,220.833,220.876,109.0
2023-01-31 14:42:00,220.888,220.916,220.828,220.871,100.0
2023-01-31 14:39:00,220.956,220.985,220.897,220.939,100.0
2023-01-31 14:38:00,220.853,220.882,220.794,220.836,100.0
2023-01-31 14:35:00,221.158,221.186,221.098,221.141,100.0
2023-01-31 14:29:00,221.236,221.264,221.176,221.219,100.0
2023-01-31 14:26:00,221.025,221.156,220.965,221.111,200.0
2023-01-31 14:25:00,221.05,221.078,220.99,221.033,100.0
2023-01-31 14:21:00,221.148,221.176,221.004,221.047,250.0
2023-01-31 14:17:00,221.118,221.147,221.058,221.101,100.0
2023-01-31 14:15:00,221.138,221.166,221.058,221.101,347.0
2023-01-31 14:14:00,221.246,221.274,221.186,221.229,100.0
2023-01-31 14:13:00,221.216,221.245,221.157,221.2,196.0
2023-01-31 14:11:00,221.248,221.276,221.188,221.231,124.0
2023-01-31 14:10:00,221.344,221.372,221.284,221.327,100.0
2023-01-31 14:09:00,221.491,221.52,221.431,221.474,100.0
2023-01-31 14:06:00,221.413,221.441,221.284,221.327,461.0
2023-01-31 14:02:00,221.481,221.51,221.422,221.464,100.0
